------------------------------------------------------------------------------------
Date: 7/29/2025 -- 18:40:57 (uptime: 0d, 00h 00m 25s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
tcp.reassembly_memuse                         | Total                     | 8030664
http.memuse                                   | Total                     | 2332709
ftp.memuse                                    | Total                     | 21729
app_layer.expectations                        | Total                     | 1
flow.memuse                                   | Total                     | 8992064
------------------------------------------------------------------------------------
Date: 7/29/2025 -- 18:41:21 (uptime: 0d, 00h 00m 49s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 6607425
decoder.bytes                                 | Total                     | 6386556605
decoder.ipv4                                  | Total                     | 6557658
decoder.ipv6                                  | Total                     | 17150
decoder.ethernet                              | Total                     | 6607425
decoder.tcp                                   | Total                     | 6130880
decoder.udp                                   | Total                     | 442805
decoder.icmpv4                                | Total                     | 225
decoder.icmpv6                                | Total                     | 710
decoder.avg_pkt_size                          | Total                     | 966
decoder.max_pkt_size                          | Total                     | 23414
flow.tcp                                      | Total                     | 57328
flow.udp                                      | Total                     | 102882
flow.icmpv4                                   | Total                     | 4
flow.icmpv6                                   | Total                     | 30
flow.tcp_reuse                                | Total                     | 47
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 1160
defrag.ipv4.fragments                         | Total                     | 152
defrag.ipv4.reassembled                       | Total                     | 74
decoder.event.ipv4.opt_pad_required           | Total                     | 36
decoder.event.ipv6.zero_len_padn              | Total                     | 401
decoder.event.ipv4.frag_overlap               | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 37856
flow.wrk.flows_evicted_pkt_inject             | Total                     | 57691
flow.wrk.flows_evicted                        | Total                     | 7811
flow.wrk.flows_injected                       | Total                     | 36973
tcp.sessions                                  | Total                     | 56702
tcp.invalid_checksum                          | Total                     | 1095279
tcp.syn                                       | Total                     | 60041
tcp.synack                                    | Total                     | 58720
tcp.rst                                       | Total                     | 22709
tcp.stream_depth_reached                      | Total                     | 73
tcp.reassembly_gap                            | Total                     | 33511
tcp.overlap                                   | Total                     | 23463
detect.alert                                  | Total                     | 823
detect.alerts_suppressed                      | Total                     | 1918
app_layer.flow.http                           | Total                     | 10398
app_layer.tx.http                             | Total                     | 35661
app_layer.flow.ftp                            | Total                     | 307
app_layer.tx.ftp                              | Total                     | 2322
app_layer.flow.tls                            | Total                     | 30709
app_layer.flow.ssh                            | Total                     | 660
app_layer.flow.smb                            | Total                     | 202
app_layer.tx.smb                              | Total                     | 1972
app_layer.flow.dcerpc_tcp                     | Total                     | 86
app_layer.tx.dcerpc_tcp                       | Total                     | 219
app_layer.flow.dns_tcp                        | Total                     | 1
app_layer.tx.dns_tcp                          | Total                     | 2
app_layer.flow.ntp                            | Total                     | 885
app_layer.tx.ntp                              | Total                     | 6163
app_layer.flow.ftp-data                       | Total                     | 157
app_layer.flow.krb5_tcp                       | Total                     | 55
app_layer.tx.krb5_tcp                         | Total                     | 59
app_layer.flow.failed_tcp                     | Total                     | 285
app_layer.flow.dns_udp                        | Total                     | 99788
app_layer.tx.dns_udp                          | Total                     | 387757
app_layer.flow.krb5_udp                       | Total                     | 243
app_layer.tx.krb5_udp                         | Total                     | 486
app_layer.flow.failed_udp                     | Total                     | 1966
flow.mgr.full_hash_pass                       | Total                     | 77
flow.spare                                    | Total                     | 10616
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 289198
flow.mgr.flows_notimeout                      | Total                     | 139545
flow.mgr.flows_timeout                        | Total                     | 149653
flow.mgr.flows_evicted                        | Total                     | 149653
flow.mgr.flows_evicted_needs_work             | Total                     | 36973
tcp.memuse                                    | Total                     | 4849744
tcp.reassembly_memuse                         | Total                     | 7406436
